code;family_variant;parent;categories;climate;description;price;name;url_key;pattern;style_bottom;style_general;image;small_image;thumbnail
MH01;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>";52;Chaz Kangeroo Hoodie;chaz-kangeroo-hoodie;pattern_color_blocked;;;m/h/mh01-gray_main.jpg;m/h/mh01-gray_main.jpg;m/h/mh01-gray_main.jpg
MH02;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>";70;Teton Pullover Hoodie;teton-pullover-hoodie;pattern_solid;;;m/h/mh02-black_main.jpg;m/h/mh02-black_main.jpg;m/h/mh02-black_main.jpg
MH03;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>";63;Bruno Compete Hoodie;bruno-compete-hoodie;pattern_solid;;;m/h/mh03-black_main.jpg;m/h/mh03-black_main.jpg;m/h/mh03-black_main.jpg
MH04;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts,default_category_collections_eco_friendly,default_category;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.</p>
<p>&bull; Light green crewneck sweatshirt.<br />&bull; Hand pockets.<br />&bull; Relaxed fit.<br />&bull; Machine wash/dry.</p>";60;Frankie  Sweatshirt;frankie-sweatshirt;pattern_solid;;;m/h/mh04-green_main.jpg;m/h/mh04-green_main.jpg;m/h/mh04-green_main.jpg
MH05;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_cool;"<p>Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you're raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.</p>
<p>&bull; Cream crewneck sweatshirt with navy sleeves/trim.<br />&bull; Relaxed fit. <br />&bull; Ribbed cuffs and hem. <br />&bull; Machine wash/dry.</p>";52;Hollister Backyard Sweatshirt;hollister-backyard-sweatshirt;pattern_color_blocked;;;m/h/mh05-white_main.jpg;m/h/mh05-white_main.jpg;m/h/mh05-white_main.jpg
MH06;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_all_weather,climate_cool,climate_indoor,climate_spring;"<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>";42;Stark Fundamental Hoodie;stark-fundamental-hoodie;pattern_solid;;;m/h/mh06-blue_main.jpg;m/h/mh06-blue_main.jpg;m/h/mh06-blue_main.jpg
MH07;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_spring;"<p>Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.</p>
<p>&bull; Full-zip gray and black hoodie.<br />&bull; Ribbed hem.<br />&bull; Standard fit.<br />&bull; Drawcord hood cinch.<br />&bull; Water-resistant coating.</p>";54;Hero Hoodie;hero-hoodie;pattern_color_blocked;;;m/h/mh07-gray_main.jpg;m/h/mh07-gray_main.jpg;m/h/mh07-gray_main.jpg
MH08;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_windy,climate_cool;"<p>Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It features an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.</p>
<p>&bull; Brown hoodie with black detail.<br />&bull; Pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Machine wash/dry.</p>";42;Oslo Trek Hoodie;oslo-trek-hoodie;pattern_solid;;;m/h/mh08-brown_main.jpg;m/h/mh08-brown_main.jpg;m/h/mh08-brown_main.jpg
MH09;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_spring,climate_windy;"<p>It took CoolTech&trade; weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It's aggressively warm when it needs to be, while maintaining your comfort in milder climes.</p>
<p>&bull; Blue heather hoodie.<br />&bull; Relaxed fit. <br />&bull; Moisture-wicking. <br />&bull; Machine wash/dry.</p>";69;Abominable Hoodie;abominable-hoodie;pattern_solid;;;m/h/mh09-blue_main.jpg;m/h/mh09-blue_main.jpg;m/h/mh09-blue_main.jpg
MH10;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_all_weather,climate_cool,climate_indoor,climate_spring;"<p>From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech&trade; fabric, it's bound to become an everyday part of your active lifestyle</p>
<p>&bull; Navy heather crewneck sweatshirt.<br />&bull; LumaTech&trade; moisture-wicking fabric.<br />&bull; Antimicrobial, odor-resistant.<br />&bull; Zip hand pockets.<br />&bull; Chafe-resistant flatlock seams.<br />&bull; Rib-knit cuffs and hem.</p>";62;Mach Street Sweatshirt ;mach-street-sweatshirt;pattern_solid;;;m/h/mh10-blue_main.jpg;m/h/mh10-blue_main.jpg;m/h/mh10-blue_main.jpg
